id,paragraph,tokens
38,"“No, of course not. Don’t be silly,” I replied.",course silly reply 
39,"Thereupon, after a great deal of pulling and pushing on the part of Mi-Hy and Gra-Shus, the rods to which we were attached were swung around, and the Wallypug and myself alighted, one on either side of the bank.",great deal pull push part rod attach swing alight side bank 
40,"His Majesty smoothed his rumpled garments, and, adjusting his crown to a more becoming angle, positively swaggered across the bridge to where the three little blue people stood in a line to receive us.",smooth rumpled garment adjust crown become angle swagger bridge little blue person stand line receive 
41,"“This is Ho-Lor,” said Mi-Hy, pushing the little fat man forward, while Gra-Shus bashfully hid behind the ample folds of his gorgeous blue skirts.",say push little fat man hide ample fold gorgeous blue skirt 
42,“How do you do?” asked his Majesty graciously.,do ask 
43,"“Do what?” asked Ho-Lor, smilingly.",do ask 
44,"“I mean, how are you?” explained the Wallypug.",mean explain 
45,"“You mean _what_ am I, I suppose?” said the little man, putting on a puzzled expression.",mean suppose say little man put puzzle expression 
46,"“No, I don’t,” said the Wallypug. “I mean just what I say—How are you?”",say mean say 
47,"“But I don’t understand,” replied Ho-Lor. “How am I what?”",understand reply 
48,"“His Majesty the Wallypug of Why,” I explained, “wishes to say, that he hopes you are quite well.”",explain wish say hope well 
49,[His Majesty swaggered across the bridge to where the three little blue people stood in a line to receive us.—Page 112.   _Wallypugland._],swagger bridge little blue person stand line receive page 
50,"“Oh! I beg your pardon” said Ho-Lor. “How very stupid of me. But you know, the fact is, we get such a lot of foreigners down here, and they do ask such funny questions. A Frenchman we caught the other day actually asked me how I carried myself. Wasn’t it rude of him—considering my weight too?”",beg pardon say stupid know fact get lot foreigner ask such funny question catch other day ask carry rude consider weight 
51,"“You’re a Wallypug, too, aren’t you?” asked Gra-Shus, looking smilingly up into my face.",ask look face 
52,"“Oh, no!” I replied; “I am only his Majesty’s guest.”",reply guest 
53,"“His Majesty! Do you mean that?” said Mi-Hy, pointing to the Wallypug.",majesty mean say point 
54,The Wallypug drew himself up with an air of offended dignity.,draw air offend dignity 
55,"“I am not a ‘that’; I’m a kind of a king,” he explained, in a tone of remonstrance.",kind king explain tone remonstrance 
56,"“O-ooh!” exclaimed the little blue people, falling down on their knees and bowing their foreheads to the ground, with their hands stretched out before them. “Pray forgive us, Majestuous Wallypug, we thought you were only an ordinary person. You see we’ve never caught a king before. Oh! don’t chop our heads off, will you?”",exclaim little blue person fall knee bow forehead ground hand stretch pray forgive think ordinary person see catch king chop head 
57,"[“PRAY FORGIVE US,” EXCLAIMED THE BLUE PEOPLE.]",pray forgive exclay blue 
58,"“Of course not,” said his Majesty, kindly.",course say 
59,"“But kings always chop off people’s heads, don’t they?” cried the little people, anxiously.",king chop person head cry little person 
60,"“Oh dear no,” said the Wallypug.",say 
61,"“Get up; or you’ll spoil your clothes. Could we have a cup of tea, please? We are rather fatigued with our long journey.”",get spoil clothes have cup tea fatigued long journey 
62,"The little blue people immediately jumped up and led the way to where behind a clump of curious blue trees the quaintest little boat you could possibly imagine was moored against the bank. A blue lake stretched as far as the eye could reach, and a number of little islands were dotted about it. On one, a little larger than the rest, a quaint little blue pagoda could be seen.",little blue person jump lead way clump curious blue tree quaintest little boat imagine moor bank blue lake stretch eye reach number little island dot little large rest quaint little blue pagoda see 
63,,
64, ,
