id,paragraph,tokens
33,"""See here, now, Hawkins,"" said he, ""here's a blessed hard thing on a man like me, now, ain't it? There's Cap'n Trelawney--what's he to think? Here I have this confounded son of a Dutchman sitting in my own house drinking of my own rum! Here you comes and tells me of it plain; and here I let him give us all the slip before my blessed deadlights! Now, Hawkins, you do me justice with the cap'n. You're a lad, you are, but you're as smart as paint. I see that when you first come in. Now, here it is: What could I do, with this old timber I hobble on? When I was an A B master mariner I'd have come up alongside of him, hand over hand, and broached him to in a brace of old shakes, I would; but now--""",see say bless hard thing man be think have confound son sit own house drinking own rum come tell plain let give slip bless deadlight do justice cap lad smart paint see come do old timber hobble a b master mariner come hand hand broach brace old shake 
34,"And then, all of a sudden, he stopped, and his jaw dropped as though he had remembered something.",stop jaw drop remember 
35,"""The score!"" he burst out. ""Three goes o' rum! Why, shiver my timbers, if I hadn't forgotten my score!""",score burst go o' rum shiver timber forget score 
36,"And falling on a bench, he laughed until the tears ran down his cheeks. I could not help joining, and we laughed together, peal after peal, until the tavern rang again.",fall bench laugh tear run cheek help join laugh peal peal tavern ring 
37,"""Why, what a precious old sea-calf I am!"" he said at last, wiping his cheeks. ""You and me should get on well, Hawkins, for I'll take my davy I should be rated ship's boy. But come now, stand by to go about. This won't do. Dooty is dooty, messmates. I'll put on my old cockerel hat, and step along of you to Cap'n Trelawney, and report this here affair. For mind you, it's serious, young Hawkins; and neither you nor me's come out of it with what I should make so bold as to call credit. Nor you neither, says you; not smart--none of the pair of us smart. But dash my buttons! That was a good un about my score.""",precious old sea calf say last wipe cheek get take davy rate ship boy come stand go do dooty messmate put old cockerel hat step report affair mind serious young come make bold call credit say smart pair smart dash button good un score 
38,"And he began to laugh again, and that so heartily, that though I did not see the joke as he did, I was again obliged to join him in his mirth.",begin laugh see joke oblige join mirth 
39,"On our little walk along the quays, he made himself the most interesting companion, telling me about the different ships that we passed by, their rig, tonnage, and nationality, explaining the work that was going forward--how one was discharging, another taking in cargo, and a third making ready for sea--and every now and then telling me some little anecdote of ships or seamen or repeating a nautical phrase till I had learned it perfectly. I began to see that here was one of the best of possible shipmates.",little walk quay make interesting companion tell different ship pass rig tonnage nationality explain work go one discharg take cargo third make ready sea tell little anecdote ship seamen repeat nautical phrase learn begin see good possible shipmate 
40,"When we got to the inn, the squire and Dr. Livesey were seated together, finishing a quart of ale with a toast in it, before they should go aboard the schooner on a visit of inspection.",get inn squire seat finish quart ale toast go schooner visit inspection 
41,"Long John told the story from first to last, with a great deal of spirit and the most perfect truth. ""That was how it were, now, weren't it, Hawkins?"" he would say, now and again, and I could always bear him entirely out.",long tell story first last great deal spirit perfect truth say bear 
42,"The two gentlemen regretted that Black Dog had got away, but we all agreed there was nothing to be done, and after he had been complimented, Long John took up his crutch and departed.",gentleman regret black get agree be do compliment take crutch depart 
43,"""All hands aboard by four this afternoon,"" shouted the squire after him.",hand afternoon shout squire 
44,"""Aye, aye, sir,"" cried the cook, in the passage.",cry cook passage 
45,"""Well, squire,"" said Dr. Livesey, ""I don't put much faith in your discoveries, as a general thing; but I will say this, John Silver suits me.""",squire say put much faith discovery general thing say suit 
46,"""The man's a perfect trump,"" declared the squire.",man perfect trump declare squire 
47,"""And now,"" added the doctor, ""Jim may come on board with us, may he not?""",add doctor come board 
48,"""To be sure he may,"" says squire. ""Take your hat, Hawkins, and we'll see the ship.""",sure say squire take hat see ship 
49,,
50, ,
