id,paragraph,tokens
1,CHAPTER V.,
2,     Mr. VALIANT _summoned. His will. His last words._,_summon will last word 
3,"     Then, said he, ""I am going to my Father's.... My Sword I      give to him that shall succeed me in my Pilgrimage, and my      Courage and Skill to him that can get it."" ... And as he      went down deeper, he said, ""Grave, where is thy Victory?""",say go sword give succeed courage get go say 
4,"     So he passed over, and all the Trumpets sounded for him on      the other side.",pass trumpet sound other side 
5,"BUNYAN'S _Pilgrim's, Progress_.",
6," Coming out of a hospital-tent, at headquarters, the surgeon cannonaded against, and rebounded from, another officer; a sallow man, not young, with a face worn more by ungentle experiences than by age; with weary eyes that kept their own counsel, iron gray hair, and a moustache that was as if a raven had laid its wing across his lips and sealed them.",come hospital tent headquarters surgeon cannonade rebound officer sallow man young face wear more ungentle experience age weary eye keep own counsel iron gray hair moustache raven lay wing lip seal 
7,"""Well?""",
8,"""Beg pardon, Major. Didn't see you. Oh, compound fracture and bruises, but it's all right. He'll pull through.""",beg pardon see compound fracture bruise right pull 
9,"""Thank GOD.""",thank 
10,"It was probably an involuntary expression, for prayer and praise were not much in the Major's line, as a jerk of the surgeon's head would have betrayed to an observer. He was a bright little man, with his feelings showing all over him, but with gallantry and contempt of death enough for both sides of his profession; who took a cool head, a white handkerchief and a case of instruments, where other men went hot-blooded with weapons, and who was the biggest gossip, male or female, of the regiment. Not even the Major's taciturnity daunted him.",involuntary expression prayer praise much line jerk surgeon head betray observer bright little man feeling show gallantry contempt death side profession take cool head white handkerchief case instrument other man go hot blood weapon big gossip male female regiment taciturnity daunt 
11,"""Didn't think he'd as much pluck about him as he has. He'll do all right if he doesn't fret himself into a fever about poor Jackanapes.""",think much pluck have do fret fever poor packanape 
12,"""Whom are you talking about?"" asked the Major hoarsely.",talk ask 
13,"""Young Johnson. He--""",young 
14,"""What about Jackanapes?""",
15,"""Don't you know? Sad business. Rode back for Johnson, and brought him in; but, monstrous ill-luck, hit as they rode. Left lung--""",know sad business ro bring monstrous ill luck hit ride left lung 
16,"""Will he recover?""",recover 
17,"""No. Sad business."" ""What a frame--what limbs--what health--and what good looks? Finest young fellow--""",sad business frame limb health good look fine young fellow 
18,"""Where is he?""",
19,"""In his own tent,"" said the surgeon sadly.",own tent say surgeon 
20,The Major wheeled and left him.,wheel leave 
21,       *       *       *       *       *,
22,"""Can I do anything else for you?""",do else 
23,"""Nothing, thank you. Except--Major! I wish I could get you to appreciate Johnson.""",thank wish get appreciate 
24,"""This is not an easy moment, Jackanapes.""",easy moment 
25,"""Let me tell you, sir--_he_ never will--that if he could have driven me from him, he would be lying yonder at this moment, and I should be safe and sound.""",let tell sir drive lie moment safe sound 
26,"The Major laid his hand over his mouth, as if to keep back a wish he would have been ashamed to utter.",lay hand mouth keep wish ashamed utter 
27,"""I've known old Tony from a child. He's a fool on impulse, a good man and a gentleman in principle. And he acts on principle, which it's not every--some water, please! Thank you, sir. It's very hot, and yet one's feet get uncommonly cold. Oh, thank you, thank you. He's no fire-eater, but he has a trained conscience and a tender heart, and he'll do his duty when a braver and more selfish man might fail you. But he wants encouragement; and when I'm gone--""",know old child fool impulse good man gentleman principle act principle water thank sir hot foot get cold thank thank fire eater have train conscience tender heart do duty brave selfish man fail want encouragement gone 
28,"""He shall have encouragement. You have my word for it. Can I do nothing else?""",have encouragement have word do else 
29,"""Yes, Major. A favor.""",favor 
30,"""Thank you, Jackanapes.""",thank 
31,"""Be Lollo's master, and love him as well as you can. He's used to it.""",master love use 
32,"""Wouldn't you rather Johnson had him?""",have 
33,The blue eyes twinkled in spite of mortal pain.,blue eye twinkle spite mortal pain 
34,"""Tony _rides_ on principle, Major. His legs are bolsters, and will be to the end of the chapter. I couldn't insult dear Lollo, but if you don't care--""",principle leg bolster end chapter insult dear care 
35,"""Whilst I live--which will be longer than I desire or deserve--Lollo shall want nothing, but--you. I have too little tenderness for--my dear boy, you're faint. Can you spare me for a moment?""",live long desire deserve want have little tenderness dear boy faint spare moment 
36,"""No, stay--Major!""",stay 
37,"""What? What?""",
38,"""My head drifts so--if you wouldn't mind.""",head drift mind 
39,"""Yes! Yes!""",
40,"""Say a prayer by me. Out loud please, I am getting deaf.""",say prayer get deaf 
41,"""My dearest Jackanapes--my dear boy--""",dearest dear boy 
42,"""One of the Church Prayers--Parade Service, you know--""",know 
43,"""I see. But the fact is--GOD forgive me, Jackanapes--I'm a very different sort of fellow to some of you youngsters. Look here, let me fetch--""",see fact forgive different sort fellow youngster look let fetch 
44,"But Jackanapes' hand was in his, and it wouldn't let go.",hand let go 
45,There was a brief and bitter silence.,be brief bitter silence 
46,"""'Pon my soul I can only remember the little one at the end.""",soul remember little one end 
47,"""Please,"" whispered Jackanapes.",whisper 
48,"Pressed by the conviction that what little he could do it was his duty to do, the Major--kneeling--bared his head, and spoke loudly, clearly, and very reverently--",press conviction little do duty do kneeling bare head speak 
49,"""The Grace of our Lord Jesus Christ--""",
50,"Jackanapes moved his left hand to his right one, which still held the Major's--",move left hand right one hold 
51,"""--The love of GOD.""",love 
52,And with that--Jackanapes died.,die 
53,,
54,,
55,,
