id,paragraph,tokens
70,"      ""Old Mr. B! Old Mr. B!     Hickamore, Hackamore, on the King's kitchen door;     All the King's horses, and all the King's men,     Couldn't drive Hickamore, Hackamore,     Off the King's kitchen door.""",old old kitchen door horse man drive kitchen door 
71,Nutkin danced up and down like a _sunbeam_; but still Old Brown said nothing at all.,dance _sunbeam_ old say 
72,,
73,Nutkin began again--,begin 
74,"    ""Arthur O'Bower has broken his band,      He comes roaring up the land!      The King of Scots with all his power,      Cannot turn Arthur of the Bower!""",break band come roar land power turn 
75,"Nutkin made a whirring noise to sound like the _wind_, and he took a running jump right onto the head of Old Brown!...",make whirring noise sound _wind_ take running jump head old 
76,"Then all at once there was a flutterment and a scufflement and a loud ""Squeak!""",be flutterment scufflement loud squeak 
77,The other squirrels scuttered away into the bushes.,other squirrel scutter bush 
78,,
79,"When they came back very cautiously, peeping round the tree--there was Old Brown sitting on his door-step, quite still, with his eyes closed, as if nothing had happened.",come peep tree be old sit door step eye close happen 
80,       *       *       *       *       *,
81,_But Nutkin was in his waistcoat pocket!_,waistcoat pocket 
82,,
83,This looks like the end of the story; but it isn't.,look end story 
84,,
85,"Old Brown carried Nutkin into his house, and held him up by the tail, intending to skin him; but Nutkin pulled so very hard that his tail broke in two, and he dashed up the staircase and escaped out of the attic window.",old carry house hold tail intend skin pull tail break dash staircase escape attic window 
86,,
87,"And to this day, if you meet Nutkin up a tree and ask him a riddle, he will throw sticks at you, and stamp his feet and scold, and shout--",day meet tree ask riddle throw stick stamp foot scold shout 
88,"""Cuck-cuck-cuck-cur-r-r-cuck-k-k!""",
89, THE END,end 
90,,
91,,
