id,paragraph,tokens
1,CHAPTER 20. IN THE SOUTH PARLOUR.,chapter south 
2,"Immediately after Easter the real excitement of the school-year began. All the girls who had ambition, who had industry, and who had a desire to please distant fathers, mothers, or guardians, worked hard for that great day at Midsummer when Mrs Willis distributed her valuable prizes.",real excitement school year begin girl have ambition have industry have desire please distant father mother guardian work great day distribute valuable prize 
3,"From the moment of Hester's entrance into the school she had heard this day spoken of.  It was, without doubt, the greatest day of the year at Lavender House.  Smaller prizes were given at Christmas, but the great honours were always reserved for this long sunshiny June day, when Mrs Willis herself presented her marks of approbation to her successful pupils.",moment entrance school hear day speak doubt great day year smaller prize give great honour reserve long sunshiny day present mark approbation successful pupil 
4,"The girls who had lived in the school for two or three years gave Hester vivid descriptions of the excitements, the pleasures, the delights of this day of days.  In the first place, it was the first of the holidays, in the second it was spent almost from morning to night in the open air--for a great tent was erected on the lawn; and visitors thronged to Lavender House, and fathers and mothers, and aunts and uncles, arrived from a distance to witness the triumphs of the favoured children who had won the prizes.  The giving away of the prizes was, of course, _the_ event of the day; but there were many other minor joys.  Always in the evenings there was some special entertainment.  These entertainments differed from year to year, Mrs Willis allowing the girls to choose them for themselves, and only making one proviso, that they must take all the trouble, and all the pains--in short, that they themselves must be the entertainers.  One year they had tableaux vivants; another a fancy ball, every pretty dress of which had been designed by themselves, and many even made by their own industrious little fingers.  Mrs Willis delighted in the interest and occupation that this yearly entertainment gave to her pupils, and she not only, encouraged them in their efforts to produce something very unique and charming, but took care that they should have sufficient time to work up their ideas properly.  Always after Easter she gave the girls of the three first classes two evenings absolutely to themselves; and these they spent in a pretty room called the South Parlour, which belonged to Mrs Willis's part of the house, and was rarely used, except for these great preparations.",girl live school year give vivid description excitement pleasure delight day day first place first holiday second spend morning night open air great tent erect lawn visitor throng father mother aunt uncle arrive distance witness triumph favour child win prize give prize course _the_ event day be many other minor joy evening be special entertainment entertainment differ year year allow girl choose make proviso take trouble pain short entertainer year have tableaux vivant fancy ball pretty dress design many make own industrious little finger delight interest occupation yearly entertainment give pupil encourage effort produce unique charming take care have sufficient time work idea give girl first class evening spend pretty room call belong part house use great preparation 
5,"Hester, therefore, after Easter found her days very full indeed.  Every spare moment she devoted to little Nan, but she was quite determined to win a substantial prize, and she was also deeply interested in various schemes proposed in the South Parlour.",find day full spare moment devote little determined win substantial prize interested various scheme propose 
6,"With regard to prizes, Mrs Willis also went on a plan of her own.  Each girl was expected to come up to a certain standard of excellence in all her studies, and if she fell very much below this standard she was not allowed to try for any prize; if she came up to it, she could select one subject, but only one, for competition.",regard prize go plan own girl expect come certain standard excellence study fall standard allow try prize come select subject competition 
7,"On the Monday after the Easter holidays the special subjects for the Midsummer prizes were given out, and the girls were expected to send in their answers as to the special prize they meant to compete for by the following Friday.",holiday special subject prize give girl expect send answer special prize mean compete follow 
8,"When this day arrived Hester Thornton and Dora Russell both discovered that they had made the same choice--they were going to try for the English composition prize.  This subject always obtained one of the most costly prizes, and several of the girls shook their heads over Hester's choice.",day arrive discover make same choice go try english composition prize subject obtain costly prize several girl shake head choice 
9,"""You are very silly to try for that, Hetty,"" they exclaimed, ""for Mrs Willis has such queer ideas with regard to English composition.  Of course, we go in for it in a general way, and learn the rules of grammar and punctuation, and so forth, but Mrs Willis says that school-girls' themes are so bad and affected, as a rule, and she says she does not think anyone will go in for her pet prize who has not natural ability. In consequence, she gives only one prize for composition between the three first classes.  You had better change your mind, Hetty, before it is too late, for much older girls will compete with you, and there are several who are going to try.""",silly try exclaim have such queer idea regard english composition course go general way learn rule grammar punctuation say school girl theme bad affect rule say think go pet prize have natural ability consequence give prize composition first class good change mind late old girl compete be several go try 
10,"Hester, however, only smiled, and assured her eager friend that she would stick to her pet subject, and try to do the best she could.",smile assure eager friend stick pet subject try do good 
