id,paragraph,tokens
15,"Before long, Harry was safe under the attraction of his basin of bread and milk; and Hugh fell into a reverie at the breakfast-table, keeping his spoon suspended in his hand as he looked up at the windows, without seeing anything.  Jane asked him twice to hand the butter before he heard.",safe attraction basin bread milk fall reverie breakfast table keep spoon suspend hand look window see ask hand butter hear 
16,"""He is thinking how much four times seven is,"" observed Mr Proctor: and Hugh started at the words.",think much time observe start word 
17,"""I tell you what, Hugh,"" continued his father; ""if the Crofton people do not teach you how much four times seven is when you come within four weeks of next Christmas-day, I shall give you up, and them too, for dunces all.""",tell continue father person teach much time come week next day give dunce 
18,All the eyes round the table were fixed on Mr Proctor in an instant.,eye table fix instant 
19,"""There now!"" said he, ""I have let the cat out of the bag.  Look at Agnes!"" and he pinched her crimson cheek.",say let cat bag look pinch crimson cheek 
20,"Everybody then looked at Agnes, except Harry, who was busy looking for the cat which papa said had come out of mamma's work-bag.  Agnes could not bear the gaze, and burst into tears.",look busy look cat papa say come mamma work bag bear gaze burst tear 
21,"""Agnes has taken more pains to keep the secret than her papa,"" said Mrs Proctor.  ""The secret is, that Hugh is going to Crofton next month.""",take more pain keep secret papa say secret go next month 
22,"""Am I ten, then?"" asked Hugh, in his hurry and surprise.",ask hurry surprise 
23,"""Scarcely; since you were only eight and a quarter yesterday afternoon,"" replied his father.",quarter yesterday afternoon reply father 
24,"""I will tell you all about it by-and-by, my dear,"" said his mother.  Her glance towards Agnes made all the rest understand that they had better speak of something else now.  So Mr Proctor beckoned Harry to come and see whether the cat had not got into the bag again, as she was not to be seen anywhere else.  It is true, the bag was not much bigger than a cat's head; but that did not matter to Harry, who never cared for that sort of consideration, and had been busy for half an hour, the day before, in trying to put the key of the house-door into the key-hole of the tea-caddy.",tell dear say mother glance make rest understand speak else beckon come see cat get bag see else true bag big cat head matter care sort consideration busy hour day try put key house door key hole tea caddy 
25,"By the time Agnes had recovered herself, and the table was cleared, Miss Harold had arrived.  Hugh brought his books with the rest, but, instead of opening them, rested his elbow on the uppermost, and stared full at Miss Harold.",time recover table clear arrive bring book rest open rest elbow uppermost stare full 
26,"""Well, Hugh!"" said she, smiling.",say smile 
27,"""I have not learned quite down to `Constantinople,'"" said he.  ""Papa told me I need not, and not to mind you.""",learn say tell need mind 
28,"""Why, Hugh!  Hush!"" cried Jane.",cry 
29,"""He did,--he said exactly that.  But he meant, Miss Harold, that I am to be a Crofton boy,--directly, next month.""",say mean boy next month 
30,"""Then have we done with one another, Hugh?"" asked Miss Harold, gently. ""Will you not learn any more from me?""",do ask learn more 
31,"""That is for your choice, Miss Harold,"" observed Mrs Proctor.  ""Hugh has not deserved the pains you have taken with him: and if you decline more trouble with him now he is going into other hands, no one can wonder.""",choice observe deserve pain take decline more trouble go other hand wonder 
32,"Miss Harold feared that he was but poorly prepared for school, and was quite ready to help him, if he would give his mind to the effort.  She thought that play, or reading books that he liked, was less waste of time than his common way of doing his lessons; but if he was disposed really to work, with the expectation of Crofton before him, she was ready to do her best to prepare him for the real hard work he would have to do there.  His mother proposed that he should have time to consider whether he would have a month's holiday or a month's work, before leaving home.  She had to go out this morning.  He might go with her, if he liked; and as they returned, they would sit down in the Temple Garden, and she would tell him all about the plan.",fear prepare school ready help give mind effort think play read book like less waste time common way do lesson dispose work expectation ready do good prepare real hard work have do mother propose have time consider have month holiday month work leave have go morning go like return sit tell plan 
33,"Hugh liked this beginning of his new prospects.  He ran to be made neat for his walk with his mother.  He knew he must have the wet curl on his forehead twice over to day, but he comforted himself with hoping that there would be no time at Crofton for him to be kept standing, to have his hair done so particularly, and to be scolded all the while, and then kissed, like a baby, at the end.",like beginning new prospect run make neat walk mother know have wet curl forehead day comfort hope be time keep stand have hair do scold while kiss baby end 
34,,
35,,
