id,paragraph,tokens
1,BOOK 6. _FORTUNATUS REX & CO._,
2," THERE was once a lady who found herself in middle life with but a slight income. Knowing herself to be insufficiently educated to be able to practise any other trade or calling, she of course decided, without hesitation, to enter the profession of teaching. She opened a very select Boarding School for Young Ladies. The highest references were given and required. And in order to keep her school as select as possible, Miss Fitzroy Robinson had a brass plate fastened on to the door, with an inscription in small polite lettering. (You have, of course, heard of the “polite letters.” Well, it was with these that Miss Fitzroy Robinson’s door-plate was engraved.)",lady find middle life slight income know educate able practise other trade calling course decide hesitation enter profession teaching open select boarding young high reference give require order keep school select possible have brass plate fasten door inscription small polite lettering course hear polite letter door plate engrave 
3,  “SELECT BOARDING ESTABLISHMENT FOR THE    DAUGHTERS OF RESPECTABLE MONARCHS.”,select boarding establishment daughter respectable monarchs 
4,"A great many kings who were not at all respectable would have given their royal ears to be allowed to send their daughters to this school, but Miss Fitzroy Robinson was very firm about references, and the consequence was that all the really high-class kings were only too pleased to be permitted to pay ten thousand pounds a year for their daughters’ education. And so Miss Fitzroy Robinson was able to lay aside a few pounds as a provision for her old age. And all the money she saved was invested in land.",great many king respectable give royal ear allow send daughter school firm reference consequence high class king pleased permit pay pound year daughter education able lay few pound provision old age money save invest land 
5,"Only one monarch refused to send his daughter to Miss Fitzroy Robinson, on the ground that so cheap a school could not be a really select one, and it was found out afterwards that his references were not at all satisfactory.",monarch refuse send daughter ground cheap school select one find reference satisfactory 
6,"There were only six boarders, and of course the best masters were engaged to teach the royal pupils everything which their parents wished them to learn, and as the girls were never asked to do lessons except when they felt quite inclined, they all said it was the nicest school in the world, and cried at the very thought of being taken away. Thus it happened that the six pupils were quite grown up and were just becoming parlour boarders when events began to occur. Princess Daisy, the daughter of King Fortunatus, the ruling sovereign, was the only little girl in the school.",be border course good master engage teach royal pupil parent wish learn girl ask do lesson feel inclined say nice school world cry very thought take happen pupil grow become parlour border event begin occur daughter ruling sovereign only little girl school 
7,"Now it was when she had been at school about a year, that a ring came at the front door-bell, and the maid-servant came to the schoolroom with a visiting card held in the corner of her apron—for her hands were wet because it was washing-day.",school year ring come front door bell maid servant come schoolroom visit card hold corner apron hand wet wash day 
8,"“A gentleman to see you, Miss,” she said; and Miss Fitzroy Robinson was quite fluttered because she thought it might be a respectable monarch, with a daughter who wanted teaching.",gentleman see say flutter think respectable monarch daughter want teaching 
9,"But when she looked at the card she left off fluttering, and said, “Dear me!” under her breath, because she was very genteel. If she had been vulgar like some of us she would have said “Bother!” and if she had been more vulgar than, I hope, any of us are, she might have said “Drat the man!” The card was large and shiny and had gold letters on it. Miss Fitzroy Robinson read:—",look card leave flutter say breath genteel vulgar say bother vulgar hope say man card large shiny have gold letter read 
10,  Chevalier Doloro De Lara   Professor of Magic (white)   and the Black Art.   Pupils instructed at their own residences.   No extras.   Special terms for Schools. Evening Parties   attended.,black instruct own residence extra special term school evening party attend 
11,"Miss Fitzroy Robinson laid down her book—she never taught without a book—smoothed her yellow cap and her grey curls and went into the front parlour to see her visitor. He bowed low at sight of her. He was very tall and hungry-looking, with black eyes, and an indescribable mouth.",lay book teach book smooth yellow cap grey curl go front parlour see visitor bow low sight tall hungry look black eye indescribable mouth 
12,"“It is indeed a pleasure,” said he, smiling so as to show every one of his thirty-two teeth—a very polite, but very difficult thing to do—“it is indeed a pleasure to meet once more my old pupil.”",pleasure say smile show one tooth polite difficult thing do pleasure meet old pupil 
13,"“The pleasure is mutual, I am sure,” said Miss Fitzroy Robinson. If it is sometimes impossible to be polite and truthful at the same moment, that is not my fault, nor Miss Fitzroy Robinson’s.",pleasure mutual sure say impossible polite truthful same moment fault 
14,"“I have been travelling about,” said the Professor, still smiling immeasurably, “increasing my stock of wisdom. Ah, dear lady—we live and learn, do we not? And now I am really a far more competent teacher than when I had the honour of instructing you. May I hope for an engagement as Professor in your Academy?”",travel say smile increase stock wisdom dear lady live learn competent teacher have honour instruct hope engagement 
15,"“I have not yet been able to arrange for a regular course of Magic,” said the schoolmistress; “it is a subject in which parents, especially royal ones, take but too little interest.”",able arrange regular course say schoolmistress subject parent royal one take little interest 
16,"“It was your favourite study,” said the professor.",favourite study say professor 
17,"“Yes—but—well, no doubt some day——”",doubt day 
18,"“But I want an engagement _now_,” said he, looking hungrier than ever; “a thousand pounds for thirteen lessons—to _you_, dear lady.”",want engagement _now_ say look hungry pound lesson dear lady 
19,"“It’s quite impossible,” said she, and she spoke firmly, for she knew from history how dangerous it is for a Magician to be allowed anywhere near a princess. Some harm almost always comes of it.",impossible say speak know history dangerous magician allow princess harm come 
20,"“Oh, very well!” said the Professor.",say 
21,"“You see my pupils are all princesses,” she went on, “they don’t require the use of magic, they can get all they want without it.”",see pupil princess go require use magic get want 
22,“Then it’s ‘_No_’?” said he.,say 
23,"“It’s ‘No thank you kindly,’” said she.",thank say 
24,"Then, before she could stop him, he sprang past her out at the door, and she heard his boots on the oilcloth of the passage. She flew after him just in time to have the schoolroom door slammed and locked in her face.",stop spring door hear boot oilcloth passage fly time have schoolroom door slam lock face 
25,"“Well, I never!” said Miss Fitzroy Robinson. She hastened to the top of the house and hurried down the schoolroom chimney, which had been made with steps, in case of fire or other emergency. She stepped out of the grate on to the schoolroom hearthrug just one second too late. The seven Princesses were all gone, and the Professor of Magic stood alone among the ink-stained desks, smiling the largest smile Miss Fitzroy Robinson had seen yet.",say hasten top house hurry schoolroom chimney make step case fire other emergency step grate schoolroom hearthrug second late gone stand ink stain desk smile large smile see 
26,"“Oh, you naughty, bad, wicked man, you!” said she, shaking the school ruler at him.",naughty bad wicked man say shake school ruler 
27,       *       *       *       *       *,
28,"The next day was Saturday, and the King of the country called as usual to take his daughter Daisy out to spend her half holiday. The servant who opened the door had a coarse apron on and cinders in her hair, and the King thought it was sackcloth and ashes, and said so a little anxiously, but the girl said, “No, I’ve only been a-doing of the kitchen range—though, for the matter of that—but you’d best see missus herself.”",next day country call usual take daughter spend half holiday servant open door have coarse apron cinder hair think sackcloth ash say little girl say do kitchen range matter see missus 
29,"So the King was shown into the best parlour where the tasteful wax-flowers were, and the antimacassars and water-colour drawings executed by the pupils, and the wool mats which Miss Fitzroy Robinson’s bed-ridden aunt made so beautifully. A delightful parlour full of the traces of the refining touch of a woman’s hand.",show good parlour tasteful wax flower antimacassar water colour drawing execute pupil wool mat bed ride aunt make delightful parlour full trace refine touch woman hand 
