id,paragraph,tokens
1,CHAPTER 30. A NEW TURN OF THE TIDE.,new turn tide 
2,"The three weeks of Christmas holiday darted past only too rapidly for most of the boys at Saint Dominic's.  Holidays have a miserable knack of sliding along.  The first few days seem delightfully long.  Then, after the first week, the middle all of a sudden becomes painfully near.  And the middle once passed, they simply tear, and bolt, and rush pitilessly on to the end, when, lo and behold! your time is up before you well knew it had begun.",week holiday dart most boy holiday have miserable knack slide first few day seem long first week middle become near middle pass tear bolt rush end behold time know begin 
3,"So it happened with most of the boys.  With one or two, however, the holiday dragged heavily, and one of these was Master Thomas Senior. This forlorn youth, no longer now rollicking Tom of the Fifth, but the meek and mild, and withal sulky, hopeful of the Reverend Thomas Senior, D.D., of Saint Dominic's, watched the last of his chums go off with anything but glee.  He was doomed to three weeks' kicking of his heels in the empty halls and playgrounds of Saint Dominic's, with nothing to do and no one to do it with.  For the boy's mother was ill, which kept the whole family at home, and Tom's baby brother, vivacious youth as he was, was hardly of a companionable age yet.",happen most boy holiday drag forlorn youth rollick fifth meek mild sulky hopeful watch last chum go glee doom week kick heel empty hall playground do do boy mother ill keep whole family home baby brother vivacious youth companionable age 
4,"As to the Doctor (Tom, by the way, even in the bosom of his family, always thought and talked of his father as the ""Doctor"")--as for the Doctor, well, Tom was inclined to shirk the risk of more _tete-a-tetes_ than he could possibly help with so formidable a personage, even though he _was_ his own parent.",way bosom family think talk father inclined shirk risk more _tete tetes_ help formidable personage own parent 
5,"But try all he could, Tom was let in for it once, when he found himself face to face one day at dinner with the Doctor, and no third person to help him out.",try let find face face day dinner third person help 
6,"The occasion was quite early in the holidays, and was indeed about the first opportunity the father had had since breaking-up for anything like a conversation with his affable son.",occasion holiday first opportunity father have break conversation affable son 
7,"Tom's conversational powers were never very brilliant, and when in the subduing presence of his father they always dwindled down to nothing. It was, therefore, somewhat difficult, under the circumstances, to keep the talk going, but the Doctor did his best.  Tom answered in monosyllables, and looked fearfully sheepish, and found his best policy was always to keep his mouth full, and so have the excuse of good manners on his side for his silence.",conversational power brilliant subdue presence father dwindle difficult circumstance keep talk go do good answer monosyllable look sheepish find good policy keep mouth full have excuse good manners side silence 
8,"""Tom,"" said the Doctor, presently, steering round to a subject which it had been for some time in his mind to question his son about, ""that was an extraordinary demonstration on prize-day, when Greenfield senior came up to get his scholarship.""",say steering subject time mind question son extraordinary demonstration prize day senior come get scholarship 
9,"""It wasn't me,"" said Tom, colouring up.",say colour 
10,"""My dear boy, I never supposed it was,"" said the Doctor, laughing.  ""But it surprised me very much, as well as pained me.""",dear boy suppose say laugh surprise pain 
11,"""I couldn't help it,"" again said Tom.",help say 
