id,paragraph,tokens
1,CHAPTER XXXIV. IN THE COUNTRY,country 
2," BEFORE the end of the month, Ruby had got respectably thin, and Diamond respectably stout. They really began to look fit for double harness.",end month get thin stout begin look fit double harness 
3,"Joseph and his wife got their affairs in order, and everything ready for migrating at the shortest notice; and they felt so peaceful and happy that they judged all the trouble they had gone through well worth enduring. As for Nanny, she had been so happy ever since she left the hospital, that she expected nothing better, and saw nothing attractive in the notion of the country. At the same time, she had not the least idea of what the word country meant, for she had never seen anything about her but streets and gas-lamps. Besides, she was more attached to Jim than to Diamond: Jim was a reasonable being, Diamond in her eyes at best only an amiable, over-grown baby, whom no amount of expostulation would ever bring to talk sense, not to say think it. Now that she could manage the baby as well as he, she judged herself altogether his superior. Towards his father and mother, she was all they could wish.",wife get affair order ready migrate short notice feel peaceful happy judge trouble go worth endure happy leave hospital expect good see attractive notion country same time have least idea word country mean see street gas lamp attach reasonable being eye good amiable grow baby amount expostulation bring talk sense say think manage baby judge superior father mother wish 
4,"Diamond had taken a great deal of pains and trouble to find Jim, and had at last succeeded through the help of the tall policeman, who was glad to renew his acquaintance with the strange child. Jim had moved his quarters, and had not heard of Nanny’s illness till some time after she was taken to the hospital, where he was too shy to go and inquire about her. But when at length she went to live with Diamond’s family, Jim was willing enough to go and see her. It was after one of his visits, during which they had been talking of her new prospects, that Nanny expressed to Diamond her opinion of the country.",take great deal pain trouble find succeed help tall policeman glad renew acquaintance strange child move quarter hear illness time take hospital shy go inquire length go live family willing go see visit talk new prospect express opinion country 
5,"“There ain’t nothing in it but the sun and moon, Diamond.”",sun moon 
6,"“There’s trees and flowers,” said Diamond.",be tree flower say 
7,"“Well, they ain’t no count,” returned Nanny.",count return 
8,"“Ain’t they? They’re so beautiful, they make you happy to look at them.”",beautiful make happy look 
9,“That’s because you’re such a silly.”,silly 
10,"Diamond smiled with a far-away look, as if he were gazing through clouds of green leaves and the vision contented him. But he was thinking with himself what more he could do for Nanny; and that same evening he went to find Mr. Raymond, for he had heard that he had returned to town.",smile look gaze cloud green leave vision content think more do same evening go find hear return town 
11,"“Ah! how do you do, Diamond?” said Mr. Raymond; “I am glad to see you.”",do say glad see 
12,"And he was indeed, for he had grown very fond of him. His opinion of him was very different from Nanny’s.",grow fond opinion different 
13,"“What do you want now, my child?” he asked.",want child ask 
14,"“I’m always wanting something, sir,” answered Diamond.",want sir answer 
15,"“Well, that’s quite right, so long as what you want is right. Everybody is always wanting something; only we don’t mention it in the right place often enough. What is it now?”",right want right want mention right place 
16,"“There’s a friend of Nanny’s, a lame boy, called Jim.”",be friend lame boy call 
17,"“I’ve heard of him,” said Mr. Raymond. “Well?”",hear say 
18,"“Nanny doesn’t care much about going to the country, sir.”",care much go country sir 
19,"“Well, what has that to do with Jim?”",have do 
20,"“You couldn’t find a corner for Jim to work in--could you, sir?”",find corner work sir 
21,"“I don’t know that I couldn’t. That is, if you can show good reason for it.”",know show good reason 
22,"“He’s a good boy, sir.”",good boy sir 
23,"“Well, so much the better for him.”",good 
24,"“I know he can shine boots, sir.”",know shine boot sir 
25,“So much the better for us.”,good 
26,"“You want your boots shined in the country--don’t you, sir?”",want boot shine country sir 
27,"“Yes, to be sure.”",sure 
28,"“It wouldn’t be nice to walk over the flowers with dirty boots--would it, sir?”",nice walk flower dirty boot sir 
29,"“No, indeed.”",
30,“They wouldn’t like it--would they?”,like 
31,"“No, they wouldn’t.”",
32,"“Then Nanny would be better pleased to go, sir.”",pleased go sir 
33,"“If the flowers didn’t like dirty boots to walk over them, Nanny wouldn’t mind going to the country? Is that it? I don’t quite see it.”",flower like dirty boot walk mind go country see 
34,"“No, sir; I didn’t mean that. I meant, if you would take Jim with you to clean your boots, and do odd jobs, you know, sir, then Nanny would like it better. She’s so fond of Jim!”",sir mean mean take clean boot do odd job know sir like good fond 
35,"“Now you come to the point, Diamond. I see what you mean, exactly. I will turn it over in my mind. Could you bring Jim to see me?”",come point see mean turn mind bring see 
36,"“I’ll try, sir. But they don’t mind me much. They think I’m silly,”  added Diamond, with one of his sweetest smiles.",try sir mind think silly add sweetest smile 
37,"What Mr. Raymond thought, I dare hardly attempt to put down here. But one part of it was, that the highest wisdom must ever appear folly to those who do not possess it.",think attempt put part high wisdom appear folly possess 
38,"“I think he would come though--after dark, you know,” Diamond continued. “He does well at shining boots. People’s kind to lame boys, you know, sir. But after dark, there ain’t so much doing.”",think come dark know continue shine boot person kind lame boy know sir dark much do 
