id,paragraph,tokens
34,"When he had finished, Ben Weatherstaff was standing quite still with his jaws set obstinately but with a disturbed look in his eyes fixed on Colin.  Colin's face was thoughtful and appreciative.",finish stand jaw set disturbed look eye fix face thoughtful appreciative 
35,"""It is a very nice song,"" he said.  ""I like it.  Perhaps it means just what I mean when I want to shout out that I am thankful to the Magic."" He stopped and thought in a puzzled way.  ""Perhaps they are both the same thing.  How can we know the exact names of everything? Sing it again, Dickon.  Let us try, Mary.  I want to sing it, too.  It's my song.  How does it begin? 'Praise God from whom all blessings flow'?""",nice song say like mean mean want shout thankful stop think puzzled way same thing know exact name sing let try want sing song begin praise blessing flow 
36,"And they sang it again, and Mary and Colin lifted their voices as musically as they could and Dickon's swelled quite loud and beautiful--and at the second line Ben Weatherstaff raspingly cleared his throat and at the third line he joined in with such vigor that it seemed almost savage and when the ""Amen"" came to an end Mary observed that the very same thing had happened to him which had happened when he found out that Colin was not a cripple--his chin was twitching and he was staring and winking and his leathery old cheeks were wet.",sing lift voice swell loud beautiful second line clear throat third line join such vigor seem savage come end observe same thing happen happen find cripple chin twitch stare wink leathery old cheek wet 
37,"""I never seed no sense in th' Doxology afore,"" he said hoarsely, ""but I may change my mind i' time.  I should say tha'd gone up five pound this week Mester Colin--five on 'em!""",seed sense say change mind time say go pound week 
38,Colin was looking across the garden at something attracting his attention and his expression had become a startled one.,look garden attract attention expression become startle one 
39,"""Who is coming in here?"" he said quickly.  ""Who is it?""",come say 
40,"The door in the ivied wall had been pushed gently open and a woman had entered.  She had come in with the last line of their song and she had stood still listening and looking at them.  With the ivy behind her, the sunlight drifting through the trees and dappling her long blue cloak, and her nice fresh face smiling across the greenery she was rather like a softly colored illustration in one of Colin's books.  She had wonderful affectionate eyes which seemed to take everything in--all of them, even Ben Weatherstaff and the ""creatures"" and every flower that was in bloom.  Unexpectedly as she had appeared, not one of them felt that she was an intruder at all.  Dickon's eyes lighted like lamps.",door ivied wall push open woman enter come last line song stand listen look ivy sunlight drift tree dapple long blue cloak nice fresh face smile greenery color illustration book have wonderful affectionate eye seem take creature flower bloom appear feel intruder eye light lamp 
41,"""It's mother--that's who it is!"" he cried and went across the grass at a run.",mother cry go grass run 
42,"Colin began to move toward her, too, and Mary went with him.  They both felt their pulses beat faster.",begin move go feel pulse beat fast 
43,"""It's mother!"" Dickon said again when they met halfway.  ""I knowed tha' wanted to see her an' I told her where th' door was hid.""",mother say meet know want see tell door hide 
