id,paragraph,tokens
1,"CHAPTER 8. ""YOU HAVE WOKEN ME TOO SOON.""",have woken 
2,"When Hester reached her bedroom after prayers on that second evening, she was dismayed to find that she no longer could consider the pretty little bedroom her own.  It had not only an occupant, but an occupant who had left untidy traces of her presence on the floor, for a stocking lay in one direction and a muddy boot sprawled in another.  The newcomer had herself got into bed, where she lay with a quantity of red hair tossed about on the pillow, and a heavy freckled face turned upward, with the eyes shut and the mouth slightly open.",reach bedroom prayer second evening dismay find consider little bedroom own occupant occupant leave untidy trace presence floor stock lay direction muddy boot sprawl newcomer get bed lay quantity red hair toss pillow heavy freckled face turn eye shut mouth open 
3,"As Hester entered the room, from these parted lips came unmistakable and loud snores.  She stood still dismayed.",enter room part lip come unmistakable loud snore stand dismay 
4,"""How terrible!"" she said to herself--""oh, what a girl! and I cannot sleep in the room with any one who snores--I really cannot!""",terrible say girl sleep room one snore 
5,"She stood perfectly still, with her hands clasped before her, and her eyes fixed with almost ludicrous dismay on this unexpected trial.  As she gazed, a fresh discovery caused her to utter an exclamation of horror aloud.",stand hand clasp eye fix ludicrous dismay unexpected trial gaze fresh discovery cause utter exclamation horror 
6,"The newcomer had curled herself up comfortably in _her_ bed.  Suddenly, to her surprise, a voice said very quietly, without a flicker of expression coming over the calm face, or the eyes even making an effort to open--",newcomer curl bed surprise voice say flicker expression come calm face eye make effort open 
7,"""Are you my new school-mate?""",new school mate 
8,"""Yes,"" said Hester, ""I am sorry to say I am.""",say sorry say 
9,"""Oh, don't be sorry, there's a good creature; there's nothing to be sorry about.  I'll stop snoring when I turn on my side--it's all right. I always snore for half an hour to rest my back, and the time is nearly up.  Don't trouble me to open my eyes, I am not the least curious to see you.  You have a cross voice, but you'll get used to me after a bit.""",sorry be good creature be sorry stop snore turn side right snore hour rest back time trouble open eye least curious see have cross voice use bit 
10,"""But you're in my bed,"" said Hester.  ""Will you please to get into your own?""",bed say get own 
11,"""Oh, no, don't ask me; I like your bed best.  I slept in it the whole of last term.  I changed the sheets myself, so it does not matter.  Do you mind putting my muddy boots outside the door, and folding up my stockings?  I forgot them, and I shall have a bad mark if Danesbury comes in.  Good-night--I'm turning on my side--I won't snore any more.""",ask like bed good sleep whole last term change sheet matter mind put muddy boot door fold stocking forget have bad mark come good night turn side snore more 
