id,paragraph,tokens
42,"""No,"" said Wraysford, not looking up, ""he had a headache and stayed in.""",say look have headache stay 
43,Pembury gave a low whistle of dismay.,give low whistle dismay 
44,"""I say, Wray,"" said he, presently, ""it really does look bad, don't you think so yourself?""",say say look bad think 
45,"""I don't know what to think,"" said Wraysford, with a groan; ""I'm quite bewildered.""",know think say groan bewilder 
46,"""It's no use pretending not to see what's as plain as daylight,"" said Pembury, as he turned and hobbled away.",use pretend see plain daylight say turn hobble 
47,The Fifth meanwhile had been holding a sort of court-martial on the affair.,fifth hold sort court martial affair 
48,"Simon was made to repeat his story once more, and stuck to it too, in spite of all the browbeating he got.",make repeat story more stick spite browbeating get 
49,"""What makes you so sure of the exact time?"" asked one of his inquisitors.",make sure exact time ask inquisitor 
50,"""Oh, because, you know, I wanted to get off a letter by the post, and thought I was in time till I saw the clock opposite the Doctor's study said five minutes past.""",know want get letter post think time see clock study say minute past 
51,"""Did Greenfield say anything to you when he saw you?"" some one else asked.",say see one ask 
52,"""Oh, yes, he asked me if I knew where the Doctor was.""",ask know 
53,"""Did you tell him?""",tell 
54,"""Oh, yes, I said he'd gone down to the hall or somewhere.""",say go hall 
55,"""And did Greenfield go after him?""",go 
56,"""Oh, no, you know, he went off the other way as quick as he could,"" said Simon, in a voice as though he would say, ""How can you ask such an absurd question?""",know go other way say voice say ask absurd question 
57,"""Did you ask him what he wanted in the study?""",ask want study 
58,"""Oh, yes; but of course he didn't tell me--not likely.  But I say, I suppose we're sure to win the Nightingale now, aren't we?  Mind, I'm not going to tell anybody, because, of course, it's a secret.""",course tell likely say suppose sure win mind go tell course secret 
59,"""Shut up, you miserable blockhead, unless you want to be kicked!"" shouted Bullinger.  ""No one wants to know what you're going to do. You've done mischief enough already.""",shut miserable blockhead want kick shout want know go do do mischief 
60,"""Oh, well, I didn't mean, you know,"" said the poet; ""all I said was I met him coming--""",mean know say poet say meet come 
61,"""Shut up, do you hear? or you'll catch it!"" once more exclaimed Bullinger.",shut hear catch exclaim 
62,"The wretched Simon gave up further attempts to explain himself.  Still what he had said, in his blundering way, had been quite enough.",wretch give further attempt explain say blunder way enough 
63,"The thing was beyond a doubt; and as the Fifth sat there in judgment, a sense of shame and humiliation came over them, to which many of them were unused.",thing doubt fifth sit judgment sense shame humiliation come many unused 
64,"""I know this,"" said Ricketts, giving utterance to what was passing in the minds of nearly all his class-fellows, ""I'd sooner have lost the scholarship twenty times over than win it like this.""",know say give utterance pass mind class fellow lose scholarship time win 
65,"""Precious fine glory it will be if we do get it!"" said Braddy.",precious fine glory get say 
66,"""Unless Wray wins,"" suggested Ricketts.",win suggest 
67,"""No such luck as that, I'm afraid,"" said Bullinger.  ""That's just the worst of it.  He's not only disgraced us, but he's swindled his best friend.  It's a blackguard shame!"" added he, fiercely.",such luck afraid say bad disgrace swindle good friend blackguard shame add 
68,"""At any rate, Loman is out of it, from what I hear; he got regularly stuck in the exam.""",rate hear get stuck exam 
69,"""I tell you,"" said Ricketts, ""I'd sooner have had Loman take the scholarship and our two men nowhere at all, than this.""",tell say have take scholarship man 
70,"There was nothing more than this to be said, assuredly, to prove the disgust of the Fifth at the conduct of their class-fellow.",be more say prove disgust fifth conduct class fellow 
71,"""I suppose Greenfield will have the grace to confess it, now it's all come out,"" said Ricketts.",suppose have grace confess come say 
72,"""If he doesn't I fancy we can promise him a pretty hot time of it among us,"" said Braddy.",fancy promise hot time say 
73,"One or two laughed at this, but to most of those present the matter was past a joke.",laugh most present matter joke 
