id,paragraph,tokens
1,CHAPTER 22. THE NIGHTINGALE EXAMINATION.,examination 
2,"The next morning early, before breakfast, Oliver joined the Doctor in his study, and made a clean breast to him there and then of Stephen's delinquencies.  He had evidently taken the right step in doing so, for, hearing it all thus frankly confessed by the elder brother, Dr Senior was disposed to take a much more lenient view of the case than he would had the information come to him through any other channel.",next morning breakfast join study make clean breast delinquency take right step do hear confess elder brother dispose take lenient view case have information come other channel 
3,"But at its best the offence was a grave one, and Oliver more than once felt anxious at the sight of the head master's long face during the narrative.  However, when it was all over his fears were at once dispelled by the doctor saying, ""Well, Greenfield, you've done a very proper thing in telling me all this; it is a straightforward as well as a brotherly act.  Your brother seems to have been very foolish, but I have no doubt he has got a lesson.  You had better send him to me after morning service.""",good offence grave one more feel anxious sight head master long face narrative fear dispell doctor say do proper thing tell straightforward brotherly act brother seem foolish have doubt get lesson good send morning service 
4,"And so, much relieved, Oliver went off and reported to the grateful Stephen the success of his mission, and the two boys went off to the school chapel together a good deal more happy than they had been the previous day.",relieve go report grateful success mission boy go school chapel good deal happy previous day 
5,"""I say,"" said Stephen, as they went along, ""I suppose you didn't say anything about Loman, did you?""",say say go suppose say 
6,"""Of course not! he's no concern of mine,"" said Oliver, rather tartly. ""But look here, young 'un, I'm not going to let you fag any more for him, or have anything to do with him.""",course concern say look young go let fig more have do 
7,"""All right!"" said Stephen, who had no desire to continue his acquaintance with his late ""proprietor.""",right say have desire continue acquaintance late proprietor 
8,"""But the captain will row me, won't he?""",captain row 
9,"""If he does I'll make that square.  You can fag for Wraysford if you like, though, he wants a fellow.""",make square fig like want fellow 
10,"""Oh, all right!"" cried Stephen, delighted, ""that'll be jolly!  I like old Wray.""",right cry delighted jolly like old 
11,"""Very kind of you,"" said a voice close by.",kind say voice 
12,"It was Wraysford himself, who had come in for this very genuine compliment.",come genuine compliment 
13,"""Hullo!  I say, look here, Wraysford,"" said the beaming Stephen, ""I'm going to cut Loman and fag for you.  Isn't it jolly?""",say look say beam go cut fig jolly 
14,"""Depends on whether I have you.  I don't want any Guinea-pigs in my study, mind.""",depend have want guinea pig study mind 
