dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_layers,num_neurons,num_topics
dataset_name,RF,LCB,0,1931.1783220767975,0.281883805498064,0.28058933590942353,0.007576240468016464,relu,0.4114273905066135,3,100,33
dataset_name,RF,LCB,1,1913.749639749527,0.3043587080178363,0.3055514630774646,0.003470327406045284,relu,0.23030992975921646,1,100,40
dataset_name,RF,LCB,2,2437.5552229881287,0.2869301902943184,0.29228964500851273,0.010836402312620995,relu,0.45581624774225826,1,200,30
dataset_name,RF,LCB,3,2549.2504591941833,0.256402094661931,0.2552359859736742,0.0038937814915399093,relu,0.5639377844614298,1,200,49
dataset_name,RF,LCB,4,1806.0945672988892,0.22575618884998094,0.22555167885543934,0.006386559943233925,softplus,0.597918531951751,3,100,41
dataset_name,RF,LCB,5,3068.4905922412872,0.30310669041528643,0.3044131227502158,0.006461392114210614,relu,0.33469267268263864,3,300,28
dataset_name,RF,LCB,6,2168.0002524852753,0.33479806754637864,0.33514369249093723,0.004325023006219844,softplus,0.13840590756269566,2,200,20
dataset_name,RF,LCB,7,2043.894012928009,0.33756021575096995,0.33742724637815524,0.0014899310751387762,softplus,0.09907113914427614,1,200,13
dataset_name,RF,LCB,8,1458.0573246479034,0.32758167111941544,0.32621924366374877,0.00704321791957534,relu,0.07455354959490254,1,50,17
dataset_name,RF,LCB,9,1704.052230834961,0.33420126798095073,0.33229473390104397,0.005700065278709153,softplus,0.04696293779716051,3,100,17
dataset_name,RF,LCB,10,2896.6005489826202,0.30216714688321605,0.3011956696165636,0.005497288847354363,softplus,0.041478190146116076,2,300,47
dataset_name,RF,LCB,11,2035.249944448471,0.3237223597945331,0.32007451475694015,0.01123021330989035,softplus,0.35888309070524216,1,200,13
dataset_name,RF,LCB,12,2211.3607325553894,0.31752898104067306,0.31537290461566947,0.013967852998788747,softplus,0.40354684531286095,3,200,12
dataset_name,RF,LCB,13,2083.443094968796,0.3222884663331132,0.31861400704765347,0.01341363513821276,softplus,0.4184904688829908,1,200,18
dataset_name,RF,LCB,14,2037.480188369751,0.3169455314892023,0.31435487084301955,0.013225324455541625,softplus,0.48750930991313207,1,200,17
dataset_name,RF,LCB,15,1626.6246795654297,0.2845524114662608,0.2869314070032047,0.013516877645332749,sigmoid,0.5668605706262079,2,100,16
dataset_name,RF,LCB,16,1630.246693611145,0.3267362375266437,0.32688589043032873,0.0016802186938224915,sigmoid,0.027841758439551903,3,100,16
dataset_name,RF,LCB,17,1316.6318480968475,0.31049871188946276,0.305096950959038,0.01952137595246818,softplus,0.5104632796122114,1,50,10
dataset_name,RF,LCB,18,2042.0559406280518,0.3018857720955613,0.2989012216699445,0.01780197193102051,softplus,0.5459818616623308,1,200,12
dataset_name,RF,LCB,19,1817.1526410579681,0.325645228767872,0.3244751957668604,0.003229528590501329,relu,0.11027437936699737,2,100,24
dataset_name,RF,LCB,20,1782.1012694835663,0.3169172961356643,0.3158976885655458,0.004395886592655594,softplus,0.06303033517588644,3,100,26
dataset_name,RF,LCB,21,2144.6065545082092,0.3060676515989334,0.303098683217759,0.009146924528042262,softplus,0.5383978572627457,1,200,21
dataset_name,RF,LCB,22,1383.7161786556244,0.2995892521610674,0.30133259013912356,0.013073517065302707,softplus,0.5437986085742301,2,50,15
dataset_name,RF,LCB,23,2204.964997291565,0.3303296181598473,0.33105269212543414,0.0030257147292396813,softplus,0.08449569952907719,1,200,30
dataset_name,RF,LCB,24,2303.8770649433136,0.3112146561642565,0.3109966151286493,0.006773474025326613,softplus,0.09456709801486486,1,200,39
dataset_name,RF,LCB,25,2409.7545132637024,0.31709884500453017,0.3159492189420144,0.007385704076114205,softplus,0.08834539507621413,3,200,33
dataset_name,RF,LCB,26,2374.9820370674133,0.3381435616387727,0.3367876963937865,0.007268816292662451,relu,0.0050391992649265974,1,200,22
dataset_name,RF,LCB,27,2466.8749351501465,0.3257436613300448,0.3239853095366142,0.005290568141997524,relu,0.21927408127167541,3,200,23
dataset_name,RF,LCB,28,2303.730996131897,0.31442370920997476,0.31219102130000265,0.003579160205101023,sigmoid,0.0070810659903991725,1,200,46
dataset_name,RF,LCB,29,2445.572076320648,0.3195507618780524,0.31901468991452336,0.007063481680871666,relu,0.229960956109485,3,200,20
dataset_name,RF,LCB,30,1367.9193186759949,0.3392297917593149,0.33916403835950537,0.0027630423431278515,softplus,0.010472441944473011,1,50,16
dataset_name,RF,LCB,31,1473.4122352600098,0.32290088015513924,0.325602558584052,0.008090381407925505,softplus,0.00789745067867609,1,50,26
dataset_name,RF,LCB,32,2105.1301560401917,0.3328429804518388,0.33233942176481773,0.005394937464138918,softplus,0.017517958961476413,2,200,11
dataset_name,RF,LCB,33,1992.8742949962616,0.34073293398259275,0.34030377440200277,0.0032208078993403947,softplus,0.1742852778118202,2,200,16
dataset_name,RF,LCB,34,2142.472676038742,0.3329252832699542,0.33164537574582076,0.0028677245762425713,softplus,0.18371445024980265,2,200,15
dataset_name,RF,LCB,35,2147.5104837417603,0.3273202109309403,0.32816901575598234,0.006694094364209037,softplus,0.21918410335605396,2,200,21
dataset_name,RF,LCB,36,2035.181271314621,0.31883237465500874,0.3155456491275715,0.009694231237986229,softplus,0.5534282256592423,1,200,12
dataset_name,RF,LCB,37,1361.9469602108002,0.315704075712289,0.3089421093663841,0.016886887140088583,softplus,0.5550675341406542,3,50,10
dataset_name,RF,LCB,38,2262.0496850013733,0.3025160192968503,0.3019836562776005,0.0060927656644544255,softplus,0.07433823206747157,1,200,46
dataset_name,RF,LCB,39,2096.4252774715424,0.3113836030144991,0.30827635701178563,0.017574761282324273,softplus,0.5619755334297661,1,200,13
dataset_name,RF,LCB,40,2482.6600363254547,0.3119683357895275,0.29759360243538396,0.034070246008619104,softplus,0.5892472429972788,1,300,10
dataset_name,RF,LCB,41,2002.659456729889,0.31907687462989437,0.3115926861338937,0.0123620206099312,softplus,0.5856619209768249,1,200,11
